domain,article_type,source_domain_stage,country,vertical,product_guess,product_slug,pair_key,slug,url,reference_rec_url,reference_p1_url,reference_p1_slug,reference_pair_status,lastmod,image_urls,source_sitemap
utua.lv,REC,UTUA_P1,bg,emp,Unicredit Mortgage,unicredit-mortgage,bg-emp-unicredit-mortgage,bg-emp-unicredit-mortgage-p1,https://utua.lv/bg-emp-unicredit-mortgage-p1/,https://utua.lv/bg-emp-unicredit-mortgage-p1/,https://utua.lv/bg-emp-unicredit-mortgage-p2/,bg-emp-unicredit-mortgage-p2,REC+P1,2025-04-25T17:51:47+00:00,,https://utua.lv/post-sitemap4.xml
utua.lv,REC,UTUA_P1,bg,emp,Unicredit Overdraft,unicredit-overdraft,bg-emp-unicredit-overdraft,bg-emp-unicredit-overdraft-p1,https://utua.lv/bg-emp-unicredit-overdraft-p1/,https://utua.lv/bg-emp-unicredit-overdraft-p1/,https://utua.lv/bg-emp-unicredit-overdraft-p2/,bg-emp-unicredit-overdraft-p2,REC+P1,2025-06-16T20:04:19+00:00,,https://utua.lv/post-sitemap1.xml
utua.lv,REC,UTUA_P1,bg,emp,Unicredit Student Loan,unicredit-student-loan,bg-emp-unicredit-student-loan,bg-emp-unicredit-student-loan-p1,https://utua.lv/bg-emp-unicredit-student-loan-p1/,https://utua.lv/bg-emp-unicredit-student-loan-p1/,https://utua.lv/bg-emp-unicredit-student-loan-p2/,bg-emp-unicredit-student-loan-p2,REC+P1,2026-02-04T19:42:17+00:00,,https://utua.lv/post-sitemap1.xml
utua.lv,REC,UTUA_P1,bg,emp,Unicredit Universal Mortgage,unicredit-universal-mortgage,bg-emp-unicredit-universal-mortgage,bg-emp-unicredit-universal-mortgage-p1,https://utua.lv/bg-emp-unicredit-universal-mortgage-p1/,https://utua.lv/bg-emp-unicredit-universal-mortgage-p1/,https://utua.lv/bg-emp-unicredit-universal-mortgage-p2/,bg-emp-unicredit-universal-mortgage-p2,REC+P1,2025-05-02T20:49:48+00:00,,https://utua.lv/post-sitemap3.xml
utua.lv,REC,UTUA_P1,ee,cc,Coop Krediitkaart,coop-krediitkaart,ee-cc-coop-krediitkaart,ee-cc-coop-krediitkaart-p1,https://utua.lv/ee-cc-coop-krediitkaart-p1/,https://utua.lv/ee-cc-coop-krediitkaart-p1/,https://utua.lv/ee-cc-coop-krediitkaart-p2/,ee-cc-coop-krediitkaart-p2,REC+P1,2025-07-31T14:18:03+00:00,,https://utua.lv/post-sitemap1.xml
utua.lv,REC,UTUA_P1,ee,cc,Gold Vaba Tagasimaksega,gold-vaba-tagasimaksega,ee-cc-gold-vaba-tagasimaksega,ee-cc-gold-vaba-tagasimaksega-p1,https://utua.lv/ee-cc-gold-vaba-tagasimaksega-p1/,https://utua.lv/ee-cc-gold-vaba-tagasimaksega-p1/,https://utua.lv/ee-cc-gold-vaba-tagasimaksega-p2/,ee-cc-gold-vaba-tagasimaksega-p2,REC+P1,2025-07-31T14:16:24+00:00,,https://utua.lv/post-sitemap1.xml
utua.lv,REC,UTUA_P1,ee,cc,Holm Krediitkaart 100,holm-krediitkaart-100,ee-cc-holm-krediitkaart-100,ee-cc-holm-krediitkaart-100-p1,https://utua.lv/ee-cc-holm-krediitkaart-100-p1/,https://utua.lv/ee-cc-holm-krediitkaart-100-p1/,https://utua.lv/ee-cc-holm-krediitkaart-100-p2/,ee-cc-holm-krediitkaart-100-p2,REC+P1,2025-07-31T14:19:42+00:00,,https://utua.lv/post-sitemap1.xml
utua.lv,REC,UTUA_P1,ee,cc,Vaba Tagasimaksega,vaba-tagasimaksega,ee-cc-vaba-tagasimaksega,ee-cc-vaba-tagasimaksega-p1,https://utua.lv/ee-cc-vaba-tagasimaksega-p1/,https://utua.lv/ee-cc-vaba-tagasimaksega-p1/,https://utua.lv/ee-cc-vaba-tagasimaksega-p2/,ee-cc-vaba-tagasimaksega-p2,REC+P1,2025-07-31T14:13:24+00:00,,https://utua.lv/post-sitemap1.xml
utua.lv,REC,UTUA_P1,ee,emp,Bigbank Consumer,bigbank-consumer,ee-emp-bigbank-consumer,ee-emp-bigbank-consumer-p1,https://utua.lv/ee-emp-bigbank-consumer-p1/,https://utua.lv/ee-emp-bigbank-consumer-p1/,https://utua.lv/ee-emp-bigbank-consumer-p2/,ee-emp-bigbank-consumer-p2,REC+P1,2025-05-29T22:36:45+00:00,,https://utua.lv/post-sitemap2.xml
utua.lv,REC,UTUA_P1,ee,emp,Bondora Personal Loan,bondora-personal-loan,ee-emp-bondora-personal-loan,ee-emp-bondora-personal-loan-p1,https://utua.lv/ee-emp-bondora-personal-loan-p1/,https://utua.lv/ee-emp-bondora-personal-loan-p1/,https://utua.lv/ee-emp-bondora-personal-loan-p2/,ee-emp-bondora-personal-loan-p2,REC+P1,2025-05-20T19:48:15+00:00,,https://utua.lv/post-sitemap3.xml
