id,name,path,parent_path,mimeType,size,fileExtension,md5Checksum,width,height,durationMillis,createdTime,modifiedTime,issues
10Gct99X1n10EvWLdhIP9cLeE63uyJXbU,CC_US_EN_VID_APROBACION_NV_008__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_008__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,2584338,mp4,858deab2bd23d7c3e41885a744ec58ed,,,,2026-06-14T16:23:38.892Z,2026-06-14T16:23:38.892Z,NAME_NOT_CANONICAL
1A7gKRMAcNrxWpqt55H0tNph0q8JGqbw3,CC_US_EN_VID_APROBACION_NV_009__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_009__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1703092,mp4,7719b86359e14e6995d4c23c94147522,,,,2026-06-14T16:23:42.545Z,2026-06-14T16:23:42.545Z,NAME_NOT_CANONICAL
1OhyeA-3bdxI0IS3pMkDtWi5vs55uPwMf,CC_US_EN_VID_APROBACION_NV_010__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_010__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1703092,mp4,7719b86359e14e6995d4c23c94147522,,,,2026-06-14T16:23:46.373Z,2026-06-14T16:23:46.373Z,NAME_NOT_CANONICAL
1iwRcGP2ocRRGQTnq17a4mHAHjW1gJvUd,CC_US_EN_VID_APROBACION_NV_011__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_011__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1651594,mp4,442ecc5538f19019ecc2426043bacbba,,,,2026-06-14T16:23:49.888Z,2026-06-14T16:23:49.888Z,NAME_NOT_CANONICAL
1pcqr-8zMe4bXqav8TMOAni6Nhgh7ACaa,CC_US_EN_VID_APROBACION_NV_012__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_012__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,987381,mp4,f3057571cca0e9734da13415573d2211,,,,2026-06-14T16:52:13.488Z,2026-06-14T16:52:13.488Z,NAME_NOT_CANONICAL
1wlaMDubMtRgqhqkyG94b2H2lnZ_y_9mz,CC_US_EN_VID_APROBACION_NV_013__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_013__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,724246,mp4,56c5232be9224379ef63efd7752f1cbc,,,,2026-06-14T16:52:09.762Z,2026-06-14T16:52:09.762Z,NAME_NOT_CANONICAL
17jYFiDrpsT7uSXmwlHUq2DJR_MgIyiAa,CC_US_EN_VID_APROBACION_NV_014__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_014__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,1163147,mp4,d8e9b0ca885fb067b9da2fae2b9150d1,,,,2026-06-14T16:52:28.220Z,2026-06-14T16:52:28.220Z,NAME_NOT_CANONICAL
1Q7Fyrw-XR78w-fADyhSoEKPjqbiDKTup,CC_US_EN_VID_APROBACION_NV_015__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_015__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,4841861,mp4,5a3327e29572a39fa250de12c7ed8aa1,,,,2026-06-14T16:52:32.085Z,2026-06-14T16:52:32.085Z,NAME_NOT_CANONICAL
14Qhbf2pZtaov8zhFeDC0AkCKxeJ_7Lr0,CC_US_EN_VID_APROBACION_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,6139125,mp4,7187b4c540eb63b3a8c8e2845096423f,,,,2026-06-14T16:29:26.667Z,2026-06-14T16:29:26.667Z,NAME_NOT_CANONICAL
1r52eNPlSumgd6N9GRYvBkfyJrYDh9gW-,CC_US_EN_VID_APROBACION_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,9481719,mp4,05b6440d72a1062043026a2e6b9adb3b,,,,2026-06-14T16:29:30.635Z,2026-06-14T16:29:30.635Z,NAME_NOT_CANONICAL
1UAfwsATPbEP8ORkhnL_7fN0xFj29HSR8,CC_US_EN_VID_APROBACION_PV_006__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_PV_006__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,video/mp4,8727412,mp4,d55857ee56b6a4c940dfe6ab8c9e97e2,,,,2026-06-14T16:29:46.845Z,2026-06-14T16:29:46.845Z,NAME_NOT_CANONICAL
