drive_id,parent_path,old_name,new_name,old_path,new_path,reason,createdTime,md5Checksum,size
1JFMXtyjyyt7Vp9mkXaD36mJ8uXuwB2qO,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_LIMITE_ALTO_PV_003__dupname002.mp4,CC_DE_DE_VID_LIMITE_ALTO_PV_010.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_003__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_010.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:22:30.477Z,22476e1b5030cc086d66bdcf5b4d2701,11587486
1HREx_WK0vUzUiK87MxPbKZSKWN_0_a4M,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_LIMITE_ALTO_PV_004__dupname002.mp4,CC_DE_DE_VID_LIMITE_ALTO_PV_011.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_004__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_011.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:22:34.086Z,ccddb4024fed0b17a32ffd20ee0a468a,1538095
1-njujJ0hBLIrOAIm7FCMkNsFRMFEH8QY,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE,CC_DE_DE_VID_LIMITE_ALTO_PV_005__dupname002.mp4,CC_DE_DE_VID_LIMITE_ALTO_PV_012.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_005__dupname002.mp4,MGS-CRIATIVOS/CC_DE_DE/VID/STORY/DE/01_READY_CANDIDATE/CC_DE_DE_VID_LIMITE_ALTO_PV_012.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:22:37.933Z,60d394bc501494af3e980e794052eb10,764464
12F0znVz7cvPl6lBu0boUsSc6OdDkfmXG,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_MX_ES_VID_LIMITE_ALTO_PV_001__dupname002.mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_008.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_001__dupname002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_008.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:23:08.621Z,22370d654b2b77e831fbd1117174b757,9848187
1NRfmsI3zSzbxrujic1Z7kCBKUrgTe8Ps,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_009.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_001.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_009.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-15T03:09:43.033Z,bd7e404bbc1564d5bf65fab477f737d6,14550904
1inY5eWi7BxJucozcOoQHU6oqN_agUxi_,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE,CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,CC_MX_ES_VID_LIMITE_ALTO_PV_010.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_002.mp4,MGS-CRIATIVOS/CC_MX_ES/VID/STORY/ES/01_READY_CANDIDATE/CC_MX_ES_VID_LIMITE_ALTO_PV_010.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-15T03:09:55.636Z,024942911259614847ae057a38cae4d3,8706567
1Xss0k5fXYaxj1uHjFN-BnC5KKA7A5Vwa,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_US_EN_VID_APROBACION_NV_001__dupname002.mp4,CC_US_EN_VID_APROBACION_NV_100.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_001__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_100.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:23:12.792Z,88a95783bfbf54402dbbb2add020becc,1012759
1r4BLVC6aLn91FGS4ph9emMCKlUQVOLA6,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_US_EN_VID_APROBACION_NV_002__dupname002.mp4,CC_US_EN_VID_APROBACION_NV_101.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_002__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_101.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:23:16.319Z,1f51ce8888a8d54bbfc93278edb65462,992926
1Bp7eFX-Kfq0R5zE4sPQ672sfdAUegarf,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_US_EN_VID_APROBACION_NV_003__dupname002.mp4,CC_US_EN_VID_APROBACION_NV_102.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_003__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_102.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:23:20.230Z,2a4e77af7cc3f3af252ca38f65b7715c,952902
1bc6tyF0r6LM8fboisxKDhkg5Dw2Wc0e1,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE,CC_US_EN_VID_APROBACION_NV_004__dupname002.mp4,CC_US_EN_VID_APROBACION_NV_103.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_004__dupname002.mp4,MGS-CRIATIVOS/CC_US_EN/VID/STORY/EN/01_READY_CANDIDATE/CC_US_EN_VID_APROBACION_NV_103.mp4,remove_dupname_or_resolve_drive_duplicate,2026-06-14T16:23:24.009Z,b87b8525fc978152b9a113b3aaf13b65,443053
