drive_id,filename,relative_path,format,width,height,placement_fit,vertical_guess,language_guess,name_status,issues,recommended_action
1m_KvnGu9M8_2NRy8NrSE4abNUkyqVynU,15 - Feed Espanhol__DAGxK84OnvM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxK84OnvM.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1D9LunaG_zpQxmxz8zRNpZWKf7iWPk9fH,15 - Feed Espanhol__DAGxLKx2xAk.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxLKx2xAk.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1F_E3jK5VfvpDiRg1DEtmn6ysay65MiDe,15 - Feed Espanhol__DAGxLP5YBbA.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed Espanhol__DAGxLP5YBbA.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1NA3vzWqRgcZ0kz_Tsy9keYJArs_njLEI,15 - Feed ingles__DAGVwr-hrsY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/15 - Feed ingles__DAGVwr-hrsY.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1fZ0HL-Tqo6MrwnM36nr5QJYbezO2ziGk,16 - Feed espanhol__DAGS5kasshY.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/16 - Feed espanhol__DAGS5kasshY.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1MTb2YKihYcF962c04Axvqs7WG7cTNQQT,16 - Feed ingles__DAGVwtMXdSo.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/16 - Feed ingles__DAGVwtMXdSo.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1hwrG-itTPK7WRVdbSImZmw5lLepwcrfJ,17 - Feed espanhol__DAGS6_18_mc.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/17 - Feed espanhol__DAGS6_18_mc.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1c_ppIDus984YcHr_Zndtn5Hhd2ZUUABg,17 - Feed espanhol__DAGS6jpM-qc.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/17 - Feed espanhol__DAGS6jpM-qc.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1kxnt2CqwpqqXRhNdSU2o2ubSF9HfJWUE,17 - Feed ingles__DAGV0--vRMM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/17 - Feed ingles__DAGV0--vRMM.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1mN1GQ-cyD1Dsay7EqevUOUjBsWO8G6W9,18 - Feed espanhol__DAGS6rm09hc.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/18 - Feed espanhol__DAGS6rm09hc.png,IMG,1080,1080,FEED,CC,ES,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1TYf3Hb8H710xaS48kR1jseQhJBf6JN5D,18 - Feed ingles__DAGV1N4PTVM.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/18 - Feed ingles__DAGV1N4PTVM.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
1anXudzwOrSoJ91kfR0TjmwZJ9Z3U6bMb,19 - Feed ingles__DAGV1P-ynkE.png,UPLOAD_CANVAS/cartao de credito/imagens/feed/19 - Feed ingles__DAGV1P-ynkE.png,IMG,1080,1080,FEED,CC,EN,NONCANONICAL_RAW,NONCANONICAL_RAW,REVIEW_BEFORE_FINAL_ORGANIZATION
