status,disposition,source_drive_id,source_filename,destination_drive_id,destination_filename,source_sha256,clean_sha256,drive_md5,bytes_clean,metadata_clean,drive_readback_verified,sha256_readback_verified,product_type,person,p_orient,angle,variant,claim,perceptual_fingerprint,webViewLink,raw_legacy_verified
01_READY,EXACT_DUPLICATE_SOURCE_ALIAS,1nBgCLoBot1r4G9eKoSBwnAeZLGPktZ76,3_72 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1MpMV74AmV8oaVH1mvxRBI2b9EJinT_wH,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_003.mp4,c4bb3bb2670da640225c7ce137b0532b34e2639fed5931188c9477861bb4a21e,ba51c435e2368721e559895572dbb7d0703759a369297a7b57ad6a65a7b28b57,310fbad957fc5e6b1faa7e5b5f9c85a8,4902736,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,003,FREE TOOLBOX,dhash64:c7f2215361ecef1e/6db33d8e7638f9e9/c6a3686464416565,https://drive.google.com/file/d/1MpMV74AmV8oaVH1mvxRBI2b9EJinT_wH/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1UCWyqn6wuq_Kzl_89952eagsYFTNA-Pi,6_71 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1mqVU-1W5oTsFKTHhni_rCsZnr9etn4Cw,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_004.mp4,bbe72ada9fd318a452241042336bba497fd8b8093deb83dc8ffb1e776a025871,1daa64e1a1c62ac2773a59a38456f735cc94ba9f32d98b2af2d12e3dde2b6e28,b0588281774c203d4ceb334c2f09a061,6004625,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,004,FREE TOOLBOX,dhash64:8e8c9621f2ee9d0b/b8b8d7df4f7f1003/2ccc4c1c98fccc0c,https://drive.google.com/file/d/1mqVU-1W5oTsFKTHhni_rCsZnr9etn4Cw/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1IsdmN5UbRRHhnY_ObvtzXU8thlbzKWD1,8_73 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1KRyeS2imUlj3ulV3EYeXM6AgAQ_sd2lJ,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_005.mp4,8aa127bf45fdcfc6fb514990747f5e56dda38781043a9efcf7fbec64bd7b53d9,5da22c7e9be9c3cbbb916b1bd0809cd2250a7d723aec849347a8bcd67b62750a,ca16cc8456dc5a92564f259e8de8deef,5544603,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,005,FREE TOOLBOX,dhash64:360d6c70f5f48f7e/3f0dcf9f330f27b0/260cceccf1133ffc,https://drive.google.com/file/d/1KRyeS2imUlj3ulV3EYeXM6AgAQ_sd2lJ/view?usp=drivesdk,True
01_READY,EXACT_DUPLICATE_SOURCE_ALIAS,1Yv2kYM_JzqnpkHzfuhJL6qZGp2GkuunC,8_73 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1KRyeS2imUlj3ulV3EYeXM6AgAQ_sd2lJ,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_005.mp4,8aa127bf45fdcfc6fb514990747f5e56dda38781043a9efcf7fbec64bd7b53d9,5da22c7e9be9c3cbbb916b1bd0809cd2250a7d723aec849347a8bcd67b62750a,ca16cc8456dc5a92564f259e8de8deef,5544603,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,005,FREE TOOLBOX,dhash64:360d6c70f5f48f7e/3f0dcf9f330f27b0/260cceccf1133ffc,https://drive.google.com/file/d/1KRyeS2imUlj3ulV3EYeXM6AgAQ_sd2lJ/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1FcGQnWF1I7XdpVDgFMZQRQjI7xAvqPFt,10_69 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1fh__Gcy5HnC8886nwru-aspvF5kQRUb3,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_006.mp4,f093d0b55d7440b0e1c18f197e90f6800630e9fded51ec23649541dc8fc2c8ed,81fd132b1337823b8a01c291780165c35d0bd22edbddabe34d8482cb0ad40478,43f882abd0fa5cb1cbfd9b7ae69b1ea1,5789649,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,006,FREE TOOLBOX,dhash64:e4f99edee4e61e01/dbc7891616c9ecfc/3dad1c18f8c81b18,https://drive.google.com/file/d/1fh__Gcy5HnC8886nwru-aspvF5kQRUb3/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1Krw9jR7_CxrVXdEQGmtBWNu6sg-7L70R,11_74 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1WKKgfPiGW3tp1tU0fqJ-3IY84nol43iV,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_007.mp4,5e7af8373b02048d7e437b61a126e50c4a491a90457020e0acb2ac459ebf0ceb,75a568c66bac1d55b33a2ab67b3e8befd58ca472178ab8b384808d9628e48b0c,e9123cd0134105fe47022910ca932c7f,4361050,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,007,FREE TOOLBOX,dhash64:f84ecc331dcce71f/320e4f367f736cb8/8c8c4f598888acac,https://drive.google.com/file/d/1WKKgfPiGW3tp1tU0fqJ-3IY84nol43iV/view?usp=drivesdk,True
01_READY,EXACT_DUPLICATE_SOURCE_ALIAS,1vxFuHMpWEgGWW_nK4FZOr1YqfkHzCHlT,11_74 US_SHEIN_EN_06-09  - CAIXA DE FERRAMENTAS (INGLES) .mp4,1WKKgfPiGW3tp1tU0fqJ-3IY84nol43iV,SHEIN_US_EN_VID_FREE_TOOLBOX_PV_007.mp4,5e7af8373b02048d7e437b61a126e50c4a491a90457020e0acb2ac459ebf0ceb,75a568c66bac1d55b33a2ab67b3e8befd58ca472178ab8b384808d9628e48b0c,e9123cd0134105fe47022910ca932c7f,4361050,True,True,True,TOOLBOX,PERSON,PV,FREE_TOOLBOX,007,FREE TOOLBOX,dhash64:f84ecc331dcce71f/320e4f367f736cb8/8c8c4f598888acac,https://drive.google.com/file/d/1WKKgfPiGW3tp1tU0fqJ-3IY84nol43iV/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1nTJSjCNaKsG7FTdvBr1awR4RjkebCpwi,1_91 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,1nDKfxNEdnKepj5VfyGy6EG6mitHte0F7,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_011.mp4,25be7b971ad273db2f01630d3046ccbfed8fdcdacf3c5be97db4bfe491a43a97,5aa93e0be415dfe50cf7fc43625a4f58777b3e32ea1092de58033559ccdc8679,19f079286620931ce7d1991f58ca68bd,6556861,True,True,True,SHEIN_PRODUCTS,PERSON,PV,SHEIN_FOR_FREE,011,FREE SHEIN PRODUCTS FOR YOU,dhash64:cdcbebb06c4dc326/59583c23acf9c80f/8660ead2b9162123,https://drive.google.com/file/d/1nDKfxNEdnKepj5VfyGy6EG6mitHte0F7/view?usp=drivesdk,True
01_READY,UNIQUE_READY,17MubLP9dJWg-YvSB0dRolDDLVcSmUMkw,2_93 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,1LEDIK2b5vk0S01vF-5L_ksD0GdGbmzrn,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_012.mp4,6545288cc19d388a43509f77f134e7bd64142acfe6f64e0ff7f87ffbd1a1b3a7,1ab28ee26412f47670ddfd94d32a3e4d9fdf6304b18aabc75d6bea5ac748ea3c,9be409fa72da4f9e4cff5d7d632281c6,6902032,True,True,True,SHEIN_PRODUCTS,PERSON,PV,SHEIN_FOR_FREE,012,FREE SHEIN PRODUCTS FOR YOU,dhash64:61676f71348ee18c/3332a919c2f038e4/636763f958838482,https://drive.google.com/file/d/1LEDIK2b5vk0S01vF-5L_ksD0GdGbmzrn/view?usp=drivesdk,True
01_READY,UNIQUE_READY,1XnJ0RJEDxt4JAAOTkdn_DvF8OCHSD9SP,4_90 US_SHEIN_EN_06-09  - PRODUTOS SHEIN (INGLES) .mp4,1mvUmGjcyqfiyz0ov5Y4VaR0cWIMoAbNn,SHEIN_US_EN_VID_SHEIN_FOR_FREE_PV_013.mp4,43c53b7d6e56d5692e73442ef83c143b07b1a7a3aaabaf05c84863c3966c2b19,f059654b941243741e9901d73f200da5e742e33e99bc084af66b041d598d2840,a76f7d6c024ca15c7a590f4195d71240,6848447,True,True,True,SHEIN_PRODUCTS,PERSON,PV,SHEIN_FOR_FREE,013,FREE SHEIN PRODUCTS FOR YOU,dhash64:6163626269583378/616363252fb6d366/878191a0d858337b,https://drive.google.com/file/d/1mvUmGjcyqfiyz0ov5Y4VaR0cWIMoAbNn/view?usp=drivesdk,True
