dedup_key,kept_drive_id,skipped_drive_id,kept_relative_path,skipped_relative_path,reason,kept_score,skipped_score
md5:6be7d2137b2e7181a4bce0a2fccc86dc,1Yt8gemVFajKq82OOSUYC6uFfu10eQ-GG,110hQss5zoPk2ek41RTP14eLyGXsWbnUQ,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/04 Trabalho - Story ingles__DAGfGp3XLJ4.mp4,UPLOAD_CANVAS/downloads/NICOLAS/04 Trabalho - Story (ingles)__DAGfGp3XLJ4.mp4,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:1be8bc0af3c84548d4500c4430c2a6c4,1vDfheAOAhczlAfw1LDjR_dl9BgHxS2Bw,1QjjYirJpuMlQ7XVWlUjb8OKPcsnegYV_,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/05 - Feed Ingles__DAGS_bKcPSg.png,UPLOAD_CANVAS/downloads/NICOLAS/05 - Feed ( Ingles )__DAGS_bKcPSg.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:ad18d6f415a3d53d2baf19b9f8c31538,19z7UT6oUeoybf85jLD_s4Ko9QLMKcva_,1HvdvHDyE3QuabBvp5ZAwRzma6WpI8ZpM,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/ES/05 - Feed espanhol__DAHJAHVWoPE.png,UPLOAD_CANVAS/downloads/NICOLAS/05 - Feed (espanhol)__DAHJAHVWoPE.png,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:c8b530caf4b2169b27630e7bf9450cdf,1jbr6lYLuTjCwptGOx1bDn0MX1torWiGK,15u2Fl8WCVQm--0e0QJRGUp8ABUTW6aZ6,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/05 - IA - Story Espanhol__DAHEbdUgwNg.mp4,UPLOAD_CANVAS/downloads/NICOLAS/05 - IA - Story (Espanhol)__DAHEbdUgwNg.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:ad6310a0783af77eb8c657549a9e2103,1RnhI7TSFMbsa9VgukpFnfIcM-p9m5IUl,1l6K9QPHIT0jLGrvsy7pEjbtG5_zWTA01,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/05 - IA - Story GB ingles__DAHGCZj48MA.mp4,UPLOAD_CANVAS/downloads/NICOLAS/05 - IA - Story (GB ingles)__DAHGCZj48MA.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:c8a2b5dd063f083ef139cf3e511e4992,1RD-86ni1UI0Kw2MUM9iRWgD2M7vh9RE9,1TRxIN6UIFZgI32Ith-GC6Q80tRbbCHrG,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/05 - Story Ingles__DAGS_eVsaQs.mp4,UPLOAD_CANVAS/downloads/NICOLAS/05 - Story ( Ingles )__DAGS_eVsaQs.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:ff60e19828604208944c401f69c7b4da,1sTGuj5g25yDHeUlYOxFqKvwF009bAYZR,1_MqnCfEJecOBnRxZoh1d2sYrSPHjBJTi,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/05 - Story espanhol__DAHJAPUkMUM.mp4,UPLOAD_CANVAS/downloads/NICOLAS/05 - Story (espanhol)__DAHJAPUkMUM.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
md5:dda960b59c9cb6db5cf98c843dbd0529,18eeGmUDJUINupUY5sljyPxju8Vyf7HJ0,1-olEWrc9qd3ObX8UxbPdnVXrtryjO1Jt,UPLOAD_CANVAS/organized/NICOLAS/IMG/FEED/EN/05 Trabalho - Feed ingles__DAGfHBBYyZo.png,UPLOAD_CANVAS/downloads/NICOLAS/05 Trabalho - Feed (ingles)__DAGfHBBYyZo.png,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:6df066c1feb81708766677a9243439ec,1QZYntdVti-RoCiunoj6ZbZbWKCWFh5cV,1PxgkaKBrdLF1EN76GySJasZAnKANd8qo,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/EN/05 Trabalho - Story ingles__DAGfGn6dccE.mp4,UPLOAD_CANVAS/downloads/NICOLAS/05 Trabalho - Story (ingles)__DAGfGn6dccE.mp4,DUPLICATE_MD5_OR_SAME_KEY,96,88
md5:01df8741ec836c5401a3ed349e312724,1v6rEad6oV92QthaYKqk1snd7Hq23DWJA,1gDoyEp8dnDKsnRSyUig149xFolCPt4UT,UPLOAD_CANVAS/organized/NICOLAS/VID/STORIES/ES/06 - IA - Story Espanhol__DAHEbYPiZJE.mp4,UPLOAD_CANVAS/downloads/NICOLAS/06 - IA - Story (Espanhol)__DAHEbYPiZJE.mp4,DUPLICATE_MD5_OR_SAME_KEY,56,48
