upload_scope,organized_scope,filename,upload_path,organized_path
UPLOAD_CC_IMG,ORG_CC_IMG,26 - Feed ingles__DAGWOb4WsME.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/26 - Feed ingles__DAGWOb4WsME.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/26 - Feed ingles__DAGWOb4WsME.png
UPLOAD_CC_IMG,ORG_CC_IMG,28 - Feed ingles__DAGWOif_Kys.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/28 - Feed ingles__DAGWOif_Kys.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/28 - Feed ingles__DAGWOif_Kys.png
UPLOAD_CC_IMG,ORG_CC_IMG,35 - Feed ingles__DAGYHNAEWJA.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/35 - Feed ingles__DAGYHNAEWJA.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/35 - Feed ingles__DAGYHNAEWJA.png
UPLOAD_CC_IMG,ORG_CC_IMG,36 - Feed ingles__DAGYHO-ME5c.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/36 - Feed ingles__DAGYHO-ME5c.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/36 - Feed ingles__DAGYHO-ME5c.png
UPLOAD_CC_IMG,ORG_CC_IMG,37 - Feed ingles__DAGYLUmLmRQ.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/37 - Feed ingles__DAGYLUmLmRQ.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/37 - Feed ingles__DAGYLUmLmRQ.png
UPLOAD_CC_IMG,ORG_CC_IMG,38- Feed ingles__DAGYLyWgb-4.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/38- Feed ingles__DAGYLyWgb-4.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/38- Feed ingles__DAGYLyWgb-4.png
UPLOAD_CC_IMG,ORG_CC_IMG,04 - Feed Ingles__DAGS_fR-1sI.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/04 - Feed Ingles__DAGS_fR-1sI.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/04 - Feed Ingles__DAGS_fR-1sI.png
UPLOAD_CC_IMG,ORG_CC_IMG,13 - Feed espanhol__DAGS2E3yh3U.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/13 - Feed espanhol__DAGS2E3yh3U.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/13 - Feed espanhol__DAGS2E3yh3U.png
UPLOAD_CC_IMG,ORG_CC_IMG,15 - Feed espanhol__DAGS2Jy8x30.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/15 - Feed espanhol__DAGS2Jy8x30.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/15 - Feed espanhol__DAGS2Jy8x30.png
UPLOAD_CC_IMG,ORG_CC_IMG,14 - Feed espanhol__DAGS2GtZn7s.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/14 - Feed espanhol__DAGS2GtZn7s.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/14 - Feed espanhol__DAGS2GtZn7s.png
UPLOAD_CC_IMG,ORG_CC_IMG,16 - Feed espanhol__DAGS5kasshY.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/16 - Feed espanhol__DAGS5kasshY.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/16 - Feed espanhol__DAGS5kasshY.png
UPLOAD_CC_IMG,ORG_CC_IMG,17 - Feed espanhol__DAGS6jpM-qc.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/17 - Feed espanhol__DAGS6jpM-qc.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/17 - Feed espanhol__DAGS6jpM-qc.png
UPLOAD_CC_IMG,ORG_CC_IMG,18 - Feed espanhol__DAGS6rm09hc.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/18 - Feed espanhol__DAGS6rm09hc.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/18 - Feed espanhol__DAGS6rm09hc.png
UPLOAD_CC_IMG,ORG_CC_IMG,17 - Feed espanhol__DAGS6_18_mc.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/17 - Feed espanhol__DAGS6_18_mc.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/17 - Feed espanhol__DAGS6_18_mc.png
UPLOAD_CC_IMG,ORG_CC_IMG,05 - Feed Ingles__DAGS_bKcPSg.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/05 - Feed Ingles__DAGS_bKcPSg.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/EN/00_REVIEW/05 - Feed Ingles__DAGS_bKcPSg.png
UPLOAD_CC_IMG,ORG_CC_IMG,28 - Feed espanhol__DAGTREZKuxo.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/28 - Feed espanhol__DAGTREZKuxo.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/28 - Feed espanhol__DAGTREZKuxo.png
UPLOAD_CC_IMG,ORG_CC_IMG,29 - Feed espanhol__DAGTRLzvSxo.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/29 - Feed espanhol__DAGTRLzvSxo.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/29 - Feed espanhol__DAGTRLzvSxo.png
UPLOAD_CC_IMG,ORG_CC_IMG,30 - Feed espanhol__DAGTRMcZwC4.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/30 - Feed espanhol__DAGTRMcZwC4.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/30 - Feed espanhol__DAGTRMcZwC4.png
UPLOAD_CC_IMG,ORG_CC_IMG,33 - Feed espanhol__DAGTRm3YhUs.png,MGS-CRIATIVOS/UPLOAD_CANVAS/cartao de credito/imagens/33 - Feed espanhol__DAGTRm3YhUs.png,MGS-CRIATIVOS/CC_REVIEW/IMG/FEED/ES/00_REVIEW/33 - Feed espanhol__DAGTRm3YhUs.png
