drive_id,original_filename,relative_path,source_top_folder,mime_type,extension,format,size_bytes,width,height,aspect_ratio,placement_fit,duration_ms,md5_checksum,created_time,modified_time,vertical_guess,vertical_confidence,vertical_reason,vertical_keyword,status,proposed_action,notes
1yIsYyfJURBMy8ROAbNxw5nS-GG4-SzuV,93 - Story Ingles.png,UPLOAD_CANVAS/downloads_JOE/93 - Story Ingles.png,downloads_JOE,image/png,png,IMG,348579,1080,1920,9:16,STORY,,eccbb3ece26cc36e63b915b5e9a2e3e8,2026-06-08T14:43:07.034Z,2026-05-27T19:20:15.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
11kQC_rkO7alB2pQtQF_T2pOLajUPD_9v,94 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/94 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,401745,1080,1920,9:16,STORY,10999,78de7f53c342feb350f104a3e0e3a569,2026-06-08T14:43:06.988Z,2026-05-27T18:41:21.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1PztoPObxReYOPKwPUuQJRKMw925ByJgv,95 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/95 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,577304,1080,1920,9:16,STORY,10999,c366bf8f175999eecd5359a26e822e99,2026-06-08T14:43:07.374Z,2026-05-27T19:23:10.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1B6Ked4Nx-xv_F1qF7zml1KpMqWoD_GcH,96 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/96 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,678785,1080,1920,9:16,STORY,10999,084415e949fd569514171aaec2922b0c,2026-06-08T14:43:07.432Z,2026-05-27T19:17:05.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1A8qBvVHoCkDDVd6Cl5jEJH_T7iwRchbQ,97 - Story Ingles.mp4,UPLOAD_CANVAS/downloads_JOE/97 - Story Ingles.mp4,downloads_JOE,video/mp4,mp4,VID,589378,1080,1920,9:16,STORY,10999,11bf9ceaa8b67308d096e66a023ad68f,2026-06-08T14:43:07.391Z,2026-05-27T18:56:41.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1EC53AY-BIXBObLXz8Od4RaBAJW42TrCb,01 - Feed espanhol__DAHI_-XEf1Q.png,UPLOAD_CANVAS/downloads_NICOLAS/01 - Feed espanhol__DAHI_-XEf1Q.png,downloads_NICOLAS,image/png,png,IMG,1147746,1080,1080,1:1,FEED,,34f91f1767822453c378126e51eb465d,2026-06-08T14:42:34.595Z,2026-05-29T03:18:08.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
10lFOzjwsBsXQ7vVwJOtSFoJZ-WCjNQVL,01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,UPLOAD_CANVAS/downloads_NICOLAS/01 - FILME - Story Espanhol__DAHJd0mC5MI.mp4,downloads_NICOLAS,video/mp4,mp4,VID,3984626,1080,1920,9:16,STORY,5033,3a67ad3453b0464637cf1afa30e30b19,2026-06-08T14:42:36.849Z,2026-05-29T04:17:23.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1VRUiT2lBpi84-EXvFCZpe5lBE6jifVa2,01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,UPLOAD_CANVAS/downloads_NICOLAS/01 - IA - Story AFRICA SUL__DAHGTye3QNI.mp4,downloads_NICOLAS,video/mp4,mp4,VID,9104815,1080,1920,9:16,STORY,15066,5df32b2ea99dc97ee3edc905da7d2190,2026-06-08T14:42:39.391Z,2026-05-29T03:45:35.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
16GcagBX5AJUeOMItGNpg0MdPtVDSgQ3T,01 - IA - Story ARGENTINA__DAHGUPIFs8g.mp4,UPLOAD_CANVAS/downloads_NICOLAS/01 - IA - Story ARGENTINA__DAHGUPIFs8g.mp4,downloads_NICOLAS,video/mp4,mp4,VID,10127783,1080,1920,9:16,STORY,15066,9f99c9de168f5686188d484028cbbc03,2026-06-08T14:42:41.949Z,2026-05-29T03:42:48.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1-3lf4UpBvnmAffvpD2URVd5MYlEq7vbC,01 - Story espanhol__DAGyfA9POAU.mp4,UPLOAD_CANVAS/downloads_NICOLAS/01 - Story espanhol__DAGyfA9POAU.mp4,downloads_NICOLAS,video/mp4,mp4,VID,1380031,1080,1920,9:16,STORY,14033,59355b5ed592a03f1dbfece87cfe8e36,2026-06-08T14:42:43.515Z,2026-05-29T03:18:50.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1SohrB7w4NMHz3mpiXEKDSoSYT3Duk9Xl,02 - FILME - Story Espanhol__DAHJd58WuxY.mp4,UPLOAD_CANVAS/downloads_NICOLAS/02 - FILME - Story Espanhol__DAHJd58WuxY.mp4,downloads_NICOLAS,video/mp4,mp4,VID,6377871,1080,1920,9:16,STORY,8033,42ceb5194b7baed2c79d673ea04bca5a,2026-06-08T14:42:46.049Z,2026-05-29T04:16:38.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1h6B8D7axPPW-_zR1pfbcl64ZkBf66Sf2,02 - IA - Story AFRICA SUL__DAHGT_dg6RE.mp4,UPLOAD_CANVAS/downloads_NICOLAS/02 - IA - Story AFRICA SUL__DAHGT_dg6RE.mp4,downloads_NICOLAS,video/mp4,mp4,VID,8701603,1080,1920,9:16,STORY,15066,b18e0269889ad61b058049866738f275,2026-06-08T14:42:48.818Z,2026-05-29T03:44:40.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1hyq2Hd6XvT6pWUCgsx_mVy-NUAyRFHKG,02 - IA - Story ARGENTINA__DAHGUA7cP74.mp4,UPLOAD_CANVAS/downloads_NICOLAS/02 - IA - Story ARGENTINA__DAHGUA7cP74.mp4,downloads_NICOLAS,video/mp4,mp4,VID,9056600,1080,1920,9:16,STORY,15066,17254660ce488007fca5d8899a4350aa,2026-06-08T14:42:50.995Z,2026-05-29T03:41:53.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1HWbXURJXMmNCibQ9Ly3D8v-FEhPB_3QR,03 - Feed espanhol__DAHJAEeBVkY.png,UPLOAD_CANVAS/downloads_NICOLAS/03 - Feed espanhol__DAHJAEeBVkY.png,downloads_NICOLAS,image/png,png,IMG,1167659,1080,1080,1:1,FEED,,f222fb80db0da368f36d8dd73920548e,2026-06-08T14:42:52.634Z,2026-05-29T04:15:44.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1DnLRtQBrCNQPgWQU2c2UpUacTWQujdfn,03 - IA - Story AFRICA SUL__DAHGT8TIc3E.mp4,UPLOAD_CANVAS/downloads_NICOLAS/03 - IA - Story AFRICA SUL__DAHGT8TIc3E.mp4,downloads_NICOLAS,video/mp4,mp4,VID,9264927,1080,1920,9:16,STORY,15066,ec1d89784192d5790075c079827b8c44,2026-06-08T14:42:56.050Z,2026-05-29T03:43:44.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1nIbhV3qg7obAKVTrPjeeOEcslvJS8JCg,03 - IA - Story ARGENTINA__DAHGUFgoECE.mp4,UPLOAD_CANVAS/downloads_NICOLAS/03 - IA - Story ARGENTINA__DAHGUFgoECE.mp4,downloads_NICOLAS,video/mp4,mp4,VID,9344241,1080,1920,9:16,STORY,15066,ea4ef6d1a3e9ec3a8a01f5968c58ff0b,2026-06-08T14:42:58.740Z,2026-05-29T03:40:58.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1XPN3e5RxR77kg2JcVKZrHp3wuH1_7FE1,03 - Story espanhol__DAHI_yCOW3w.mp4,UPLOAD_CANVAS/downloads_NICOLAS/03 - Story espanhol__DAHI_yCOW3w.mp4,downloads_NICOLAS,video/mp4,mp4,VID,1422683,1080,1920,9:16,STORY,14033,cbd8bddf97ab261e3de9aa33986a33c2,2026-06-08T14:43:00.330Z,2026-05-29T04:15:11.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1j1zV5I3MA9z4AaG90wUiTXM4waSxYbOl,04 - IA - Story GB ingles__DAHGCWYuEmY.mp4,UPLOAD_CANVAS/downloads_NICOLAS/04 - IA - Story GB ingles__DAHGCWYuEmY.mp4,downloads_NICOLAS,video/mp4,mp4,VID,8573630,1080,1920,9:16,STORY,15066,304f822410805048fa5fb34601a7ad8a,2026-06-08T14:43:02.732Z,2026-05-29T03:52:35.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1IyalTotR4pvzBKIUEVKF9S9lvMpAL3Gl,05 - Feed espanhol__DAHJAHVWoPE.png,UPLOAD_CANVAS/downloads_NICOLAS/05 - Feed espanhol__DAHJAHVWoPE.png,downloads_NICOLAS,image/png,png,IMG,966881,1080,1080,1:1,FEED,,34420b9842aa1392f5dc5a0c6e4be1d1,2026-06-08T14:42:34.595Z,2026-05-29T04:18:44.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1KIp33ls2UPZ0RyGGvWCMSkmvuXxMmncI,05 - IA - Story GB ingles__DAHGCZj48MA.mp4,UPLOAD_CANVAS/downloads_NICOLAS/05 - IA - Story GB ingles__DAHGCZj48MA.mp4,downloads_NICOLAS,video/mp4,mp4,VID,8485425,1080,1920,9:16,STORY,15066,cfcad6df9324cb23256a4ac7bc76c402,2026-06-08T14:43:04.613Z,2026-05-29T03:53:32.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
120u139VPFFbh2PzPqnuhXQGmh2fFrJfM,05 - Story espanhol__DAHJAPUkMUM.mp4,UPLOAD_CANVAS/downloads_NICOLAS/05 - Story espanhol__DAHJAPUkMUM.mp4,downloads_NICOLAS,video/mp4,mp4,VID,1014678,1080,1920,9:16,STORY,14033,ca412c0b669b497abeb82ec6f4adcc55,2026-06-08T14:42:34.734Z,2026-05-29T04:18:09.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1GFFZv3loLbt8KPXerLlpFdKDumFNWCCi,06 - IA - Story Mexico__DAHGCSSTnt0.mp4,UPLOAD_CANVAS/downloads_NICOLAS/06 - IA - Story Mexico__DAHGCSSTnt0.mp4,downloads_NICOLAS,video/mp4,mp4,VID,7979758,1080,1920,9:16,STORY,15066,71823544c34eb34d4904b1f10b0cbae3,2026-06-08T14:43:06.298Z,2026-05-29T03:57:24.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1nFWcgUKxK8V6JzNF50sjNK-xP9qhk1ys,07 - IA - Story Mexico__DAHFL3JDZDU.mp4,UPLOAD_CANVAS/downloads_NICOLAS/07 - IA - Story Mexico__DAHFL3JDZDU.mp4,downloads_NICOLAS,video/mp4,mp4,VID,7993947,1080,1920,9:16,STORY,15066,a8e62677e3e2cfba3a38356034bb298c,2026-06-08T14:43:07.793Z,2026-05-29T04:03:17.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
1-Wxle0sjDlGMW4fLOFpgwTZdqhPYWPV_,08 - IA - Story Mexico__DAHFbag_RLc.mp4,UPLOAD_CANVAS/downloads_NICOLAS/08 - IA - Story Mexico__DAHFbag_RLc.mp4,downloads_NICOLAS,video/mp4,mp4,VID,9538936,1080,1920,9:16,STORY,15066,7969a1c9c45b731abb7f2daf7a877627,2026-06-08T14:43:09.809Z,2026-05-29T04:02:18.000Z,UNKNOWN,low,insufficient evidence,,RAW_IN_UPLOAD_CANVAS,INVENTORY_ONLY_NO_DRIVE_CHANGE,
